"HP4291B REV1.02"
"DATE: Oct 17 1992"



"CHANNEL: 1"
"MEASURE PARAMETER: IMPEDANCE MAG"
"NUMBER of POINTS: 201"
"SWEEP DELAY TIME:  0 s"
"POINT DELAY TIME:  0 s"
"SWEEP TYPE: LIN FREQ"
"POINT AVERAGE: OFF"
"OSC LEVEL:  50 mV"
"DC BIAS: OFF"

"Frequency"	"Data Trace Real"	"Data Trace Imag"	"Memory Trace Real"	"Memory Trace Imag"
2.095000000000E+07	3.812397E+01	0.000000E+00	0.000000E+00	0.000000E+00
2.142500000000E+07	3.705010E+01	0.000000E+00	0.000000E+00	0.000000E+00
2.190000000000E+07	3.599304E+01	0.000000E+00	0.000000E+00	0.000000E+00
2.237500000000E+07	3.500488E+01	0.000000E+00	0.000000E+00	0.000000E+00
2.285000000000E+07	3.401373E+01	0.000000E+00	0.000000E+00	0.000000E+00
2.332500000000E+07	3.308820E+01	0.000000E+00	0.000000E+00	0.000000E+00
2.380000000000E+07	3.218552E+01	0.000000E+00	0.000000E+00	0.000000E+00
2.427500000000E+07	3.130743E+01	0.000000E+00	0.000000E+00	0.000000E+00
2.475000000000E+07	3.046404E+01	0.000000E+00	0.000000E+00	0.000000E+00
2.522500000000E+07	2.963269E+01	0.000000E+00	0.000000E+00	0.000000E+00
2.570000000000E+07	2.884892E+01	0.000000E+00	0.000000E+00	0.000000E+00
2.617500000000E+07	2.807022E+01	0.000000E+00	0.000000E+00	0.000000E+00
2.665000000000E+07	2.731394E+01	0.000000E+00	0.000000E+00	0.000000E+00
2.712500000000E+07	2.658874E+01	0.000000E+00	0.000000E+00	0.000000E+00
2.760000000000E+07	2.587679E+01	0.000000E+00	0.000000E+00	0.000000E+00
2.807500000000E+07	2.518332E+01	0.000000E+00	0.000000E+00	0.000000E+00
2.855000000000E+07	2.451211E+01	0.000000E+00	0.000000E+00	0.000000E+00
2.902500000000E+07	2.386678E+01	0.000000E+00	0.000000E+00	0.000000E+00
2.950000000000E+07	2.322248E+01	0.000000E+00	0.000000E+00	0.000000E+00
2.997500000000E+07	2.260772E+01	0.000000E+00	0.000000E+00	0.000000E+00
3.045000000000E+07	2.198948E+01	0.000000E+00	0.000000E+00	0.000000E+00
3.092500000000E+07	2.139155E+01	0.000000E+00	0.000000E+00	0.000000E+00
3.140000000000E+07	2.080688E+01	0.000000E+00	0.000000E+00	0.000000E+00
3.187500000000E+07	2.024986E+01	0.000000E+00	0.000000E+00	0.000000E+00
3.235000000000E+07	1.969241E+01	0.000000E+00	0.000000E+00	0.000000E+00
3.282500000000E+07	1.913511E+01	0.000000E+00	0.000000E+00	0.000000E+00
3.330000000000E+07	1.861431E+01	0.000000E+00	0.000000E+00	0.000000E+00
3.377500000000E+07	1.807375E+01	0.000000E+00	0.000000E+00	0.000000E+00
3.425000000000E+07	1.757383E+01	0.000000E+00	0.000000E+00	0.000000E+00
